"Country","Year","Pupil-Teacher Ratio Secondary","Region"
"Liechtenstein","2015",9.90828,"Western Europe"
"Liechtenstein","2016",9.65192,"Western Europe"
"Liechtenstein","2017",9.55752,"Western Europe"
"Lithuania","1992",11.20588,"Northern Europe"
"Lithuania","1993",10.40818,"Northern Europe"
"Lithuania","1994",10.01857,"Northern Europe"
"Lithuania","1995",9.77604,"Northern Europe"
"Lithuania","1996",10.09675,"Northern Europe"
"Lithuania","1997",10.25544,"Northern Europe"
"Lithuania","2000",11.18394,"Northern Europe"
"Lithuania","2001",11.50088,"Northern Europe"
"Lithuania","2002",10.39653,"Northern Europe"
"Lithuania","2004",10.26179,"Northern Europe"
"Lithuania","2005",9.90824,"Northern Europe"
"Lithuania","2006",9.70397,"Northern Europe"
"Lithuania","2007",9.45009,"Northern Europe"
"Lithuania","2008",9.15568,"Northern Europe"
"Lithuania","2009",8.94914,"Northern Europe"
"Lithuania","2010",8.83776,"Northern Europe"
"Lithuania","2011",8.56257,"Northern Europe"
"Lithuania","2012",8.31545,"Northern Europe"
"Lithuania","2013",8.10003,"Northern Europe"
"Lithuania","2014",8.07679,"Northern Europe"
"Lithuania","2015",7.88976,"Northern Europe"
"Lithuania","2016",7.68762,"Northern Europe"
"Lithuania","2017",7.80821,"Northern Europe"
"Luxembourg","1971",11.32323,"Western Europe"
"Luxembourg","1972",11.0565,"Western Europe"
"Luxembourg","1973",11.9573,"Western Europe"
"Luxembourg","1974",11.07635,"Western Europe"
"Luxembourg","1978",12.66772,"Western Europe"
"Luxembourg","1980",12.68894,"Western Europe"
"Luxembourg","1981",14.1394,"Western Europe"
"Luxembourg","1986",13.44654,"Western Europe"
"Luxembourg","1987",12.72174,"Western Europe"
"Luxembourg","1988",11.30452,"Western Europe"
"Luxembourg","1997",10.15374,"Western Europe"
"Luxembourg","1999",11.64506,"Western Europe"
"Luxembourg","2000",10.88618,"Western Europe"
"Luxembourg","2001",10.75392,"Western Europe"
"Luxembourg","2002",10.61697,"Western Europe"
"Luxembourg","2003",10.58737,"Western Europe"
"Luxembourg","2004",10.48169,"Western Europe"
"Luxembourg","2005",10.29087,"Western Europe"
"Luxembourg","2006",10.09245,"Western Europe"
"Luxembourg","2007",10.1755,"Western Europe"
"Luxembourg","2008",10.19668,"Western Europe"
"Luxembourg","2010",8.49531,"Western Europe"
"Luxembourg","2011",8.62161,"Western Europe"
"Luxembourg","2012",7.88117,"Western Europe"
"Luxembourg","2013",7.9546,"Western Europe"
"Luxembourg","2014",9.11907,"Western Europe"
"Luxembourg","2015",9.44748,"Western Europe"
"Luxembourg","2016",8.82794,"Western Europe"
"Malaysia","1970",25.62988,"South-eastern Asia"
"Malaysia","1971",25.9696,"South-eastern Asia"
"Malaysia","1972",26.27675,"South-eastern Asia"
"Malaysia","1975",27.34629,"South-eastern Asia"
"Malaysia","1976",27.69524,"South-eastern Asia"
"Malaysia","1977",27.17693,"South-eastern Asia"
"Malaysia","1979",26.56297,"South-eastern Asia"
"Malaysia","1980",22.75733,"South-eastern Asia"
"Malaysia","1981",22.05917,"South-eastern Asia"
"Malaysia","1982",21.1878,"South-eastern Asia"
"Malaysia","1983",22.20474,"South-eastern Asia"
"Malaysia","1984",22.81973,"South-eastern Asia"
"Malaysia","1985",22.0875,"South-eastern Asia"
"Malaysia","1986",21.94277,"South-eastern Asia"
"Malaysia","1987",21.28795,"South-eastern Asia"
"Malaysia","1988",20.92586,"South-eastern Asia"
"Malaysia","1989",20.35318,"South-eastern Asia"
"Malaysia","1990",19.3354,"South-eastern Asia"
"Malaysia","1991",18.75422,"South-eastern Asia"
"Malaysia","1992",18.17791,"South-eastern Asia"
"Malaysia","1993",17.96686,"South-eastern Asia"
"Malaysia","1994",18.60713,"South-eastern Asia"
"Malaysia","1995",18.68252,"South-eastern Asia"
"Malaysia","1996",18.95773,"South-eastern Asia"
"Malaysia","1997",18.59158,"South-eastern Asia"
"Malaysia","1998",19.32134,"South-eastern Asia"
"Malaysia","2000",18.37824,"South-eastern Asia"
"Malaysia","2001",17.89326,"South-eastern Asia"
"Malaysia","2002",17.71513,"South-eastern Asia"
"Malaysia","2003",17.74779,"South-eastern Asia"
"Malaysia","2004",17.36274,"South-eastern Asia"
"Malaysia","2005",16.26544,"South-eastern Asia"
"Malaysia","2006",16.29535,"South-eastern Asia"
"Malaysia","2007",14.97044,"South-eastern Asia"
"Malaysia","2008",14.22366,"South-eastern Asia"
"Malaysia","2009",13.65341,"South-eastern Asia"
"Malaysia","2010",13.72496,"South-eastern Asia"
"Malaysia","2011",13.57944,"South-eastern Asia"
"Malaysia","2012",13.92335,"South-eastern Asia"
"Malaysia","2013",13.27612,"South-eastern Asia"
"Malaysia","2016",13.21255,"South-eastern Asia"
"Malaysia","2017",12.2751,"South-eastern Asia"
"Malaysia","2018",11.40208,"South-eastern Asia"
"Malta","1971",14.67389,"Southern Europe"
"Malta","1972",11.8173,"Southern Europe"
"Malta","1973",12.98574,"Southern Europe"
"Malta","1974",12.44376,"Southern Europe"
"Malta","1975",13.03326,"Southern Europe"
"Malta","1976",12.97398,"Southern Europe"
"Malta","1977",12.27604,"Southern Europe"
"Malta","1979",11.91707,"Southern Europe"
"Malta","1980",12.41498,"Southern Europe"
"Malta","1981",11.91079,"Southern Europe"
"Malta","1982",12.24771,"Southern Europe"
"Malta","1983",12.09809,"Southern Europe"
"Malta","1984",13.73081,"Southern Europe"
"Malta","1985",12.82123,"Southern Europe"
"Malta","1986",11.99957,"Southern Europe"
"Malta","1987",11.80424,"Southern Europe"
"Malta","1988",11.74796,"Southern Europe"
"Malta","1989",12.04065,"Southern Europe"
"Malta","1990",12.22619,"Southern Europe"
"Malta","1991",12.10714,"Southern Europe"
"Malta","1992",12.85372,"Southern Europe"
"Malta","1993",12.77454,"Southern Europe"
"Malta","1994",11.69455,"Southern Europe"
"Malta","1995",11.33238,"Southern Europe"
"Malta","1996",11.53522,"Southern Europe"
"Malta","1997",11.52503,"Southern Europe"
"Malta","1998",11.24551,"Southern Europe"
"Malta","1999",10.89978,"Southern Europe"
"Malta","2000",10.70128,"Southern Europe"
"Malta","2001",10.40219,"Southern Europe"
"Malta","2002",10.50319,"Southern Europe"
"Malta","2003",10.09776,"Southern Europe"
"Malta","2004",11.59322,"Southern Europe"
"Malta","2005",11.46871,"Southern Europe"
"Malta","2006",11.30159,"Southern Europe"
"Malta","2007",10.84173,"Southern Europe"
"Malta","2008",10.64056,"Southern Europe"
"Malta","2011",8.3145,"Southern Europe"
"Malta","2012",8.52146,"Southern Europe"
"Malta","2013",8.09958,"Southern Europe"
"Malta","2014",7.87035,"Southern Europe"
"Malta","2015",7.79572,"Southern Europe"
"Malta","2016",7.21022,"Southern Europe"
"Malta","2017",7.11247,"Southern Europe"
"Mauritius","1971",25.64444,"Sub-Saharan Africa"
"Mauritius","1972",28.91002,"Sub-Saharan Africa"
"Mauritius","1973",28.84724,"Sub-Saharan Africa"
"Mauritius","1974",30.59447,"Sub-Saharan Africa"
"Mauritius","1975",29.90951,"Sub-Saharan Africa"
"Mauritius","1976",30.88596,"Sub-Saharan Africa"
"Mauritius","1977",31.29589,"Sub-Saharan Africa"
"Mauritius","1978",28.32871,"Sub-Saharan Africa"
"Mauritius","1979",26.64064,"Sub-Saharan Africa"
"Mauritius","1980",25.69824,"Sub-Saharan Africa"
"Mauritius","1986",18.87847,"Sub-Saharan Africa"
"Mauritius","1987",19.02698,"Sub-Saharan Africa"
"Mauritius","1989",20.3188,"Sub-Saharan Africa"
"Mauritius","1996",20.25164,"Sub-Saharan Africa"
"Mauritius","1998",19.9444,"Sub-Saharan Africa"
"Mauritius","1999",19.56571,"Sub-Saharan Africa"
"Mauritius","2000",19.39514,"Sub-Saharan Africa"
"Mauritius","2001",19.23417,"Sub-Saharan Africa"
"Mauritius","2002",18.83802,"Sub-Saharan Africa"
"Mauritius","2003",18.55815,"Sub-Saharan Africa"
"Mauritius","2004",17.57327,"Sub-Saharan Africa"
"Mauritius","2005",17.41396,"Sub-Saharan Africa"
"Mauritius","2006",16.61191,"Sub-Saharan Africa"
"Mauritius","2007",16.05896,"Sub-Saharan Africa"
"Mauritius","2008",16.05079,"Sub-Saharan Africa"
"Mauritius","2009",15.71952,"Sub-Saharan Africa"
"Mauritius","2010",15.25916,"Sub-Saharan Africa"
"Mauritius","2011",14.9129,"Sub-Saharan Africa"
"Mauritius","2012",14.7082,"Sub-Saharan Africa"
"Mauritius","2013",13.12128,"Sub-Saharan Africa"
"Mauritius","2014",13.26561,"Sub-Saharan Africa"
"Mauritius","2015",12.87505,"Sub-Saharan Africa"
"Mauritius","2017",12.65226,"Sub-Saharan Africa"
"Mauritius","2018",10.9886,"Sub-Saharan Africa"
"Mexico","1971",14.47284,"Latin America and the Caribbean"
"Mexico","1972",14.6806,"Latin America and the Caribbean"
"Mexico","1975",18.37426,"Latin America and the Caribbean"
"Mexico","1976",17.31037,"Latin America and the Caribbean"
"Mexico","1977",16.27757,"Latin America and the Caribbean"
"Mexico","1978",16.84725,"Latin America and the Caribbean"
"Mexico","1981",17.68173,"Latin America and the Caribbean"
"Mexico","1982",17.65963,"Latin America and the Caribbean"
"Mexico","1983",18.03304,"Latin America and the Caribbean"
"Mexico","1984",17.94618,"Latin America and the Caribbean"
"Mexico","1985",17.45694,"Latin America and the Caribbean"
"Mexico","1986",17.19945,"Latin America and the Caribbean"
"Mexico","1987",17.23617,"Latin America and the Caribbean"
"Mexico","1988",17.53487,"Latin America and the Caribbean"
"Mexico","1989",17.28767,"Latin America and the Caribbean"
"Mexico","1990",16.93628,"Latin America and the Caribbean"
"Mexico","1991",16.65771,"Latin America and the Caribbean"
"Mexico","1992",16.47229,"Latin America and the Caribbean"
"Mexico","1993",16.43185,"Latin America and the Caribbean"
"Mexico","1994",16.3721,"Latin America and the Caribbean"
"Mexico","1995",16.20095,"Latin America and the Caribbean"
"Mexico","1996",16.22758,"Latin America and the Caribbean"
"Mexico","1997",16.31588,"Latin America and the Caribbean"
"Mexico","1998",16.92203,"Latin America and the Caribbean"
"Mexico","1999",16.80328,"Latin America and the Caribbean"
"Mexico","2000",16.92285,"Latin America and the Caribbean"
"Mexico","2001",16.8772,"Latin America and the Caribbean"
"Mexico","2002",16.96424,"Latin America and the Caribbean"
"Mexico","2003",17.14063,"Latin America and the Caribbean"
"Mexico","2004",17.94653,"Latin America and the Caribbean"
"Mexico","2005",17.80164,"Latin America and the Caribbean"
"Mexico","2006",17.83042,"Latin America and the Caribbean"
"Mexico","2007",17.91581,"Latin America and the Caribbean"
"Mexico","2008",18.00744,"Latin America and the Caribbean"
"Mexico","2009",17.63968,"Latin America and the Caribbean"
"Mexico","2010",17.91261,"Latin America and the Caribbean"
"Mexico","2011",17.67731,"Latin America and the Caribbean"
"Mexico","2012",17.74098,"Latin America and the Caribbean"
"Mexico","2013",17.95597,"Latin America and the Caribbean"
"Mexico","2014",16.12339,"Latin America and the Caribbean"
"Mexico","2015",16.08213,"Latin America and the Caribbean"
"Mexico","2016",16.30684,"Latin America and the Caribbean"
"Mexico","2017",16.85759,"Latin America and the Caribbean"
"Moldova","1990",13.26976,"Eastern Europe"
"Moldova","1991",12.66429,"Eastern Europe"
"Moldova","1992",12.30966,"Eastern Europe"
"Moldova","1993",11.66478,"Eastern Europe"
"Moldova","1994",11.52308,"Eastern Europe"
"Moldova","1995",12.53899,"Eastern Europe"
"Moldova","1996",13.05469,"Eastern Europe"
"Moldova","1997",15.56879,"Eastern Europe"
"Moldova","1999",12.59458,"Eastern Europe"
"Moldova","2000",13.24936,"Eastern Europe"
"Moldova","2001",13.53472,"Eastern Europe"
"Moldova","2002",13.2212,"Eastern Europe"
"Moldova","2003",13.24313,"Eastern Europe"
"Moldova","2004",12.97961,"Eastern Europe"
"Moldova","2005",12.75773,"Eastern Europe"
"Moldova","2006",12.39943,"Eastern Europe"
"Moldova","2007",12.10284,"Eastern Europe"
"Moldova","2008",11.49866,"Eastern Europe"
"Moldova","2009",11.25259,"Eastern Europe"
"Moldova","2010",10.4993,"Eastern Europe"
"Moldova","2011",9.89848,"Eastern Europe"
"Moldova","2012",9.57243,"Eastern Europe"
"Moldova","2013",9.58607,"Eastern Europe"
"Moldova","2014",9.376,"Eastern Europe"
"Moldova","2015",9.34236,"Eastern Europe"
"Moldova","2016",9.22639,"Eastern Europe"
"Moldova","2017",9.91073,"Eastern Europe"
"Moldova","2018",9.86318,"Eastern Europe"
"Netherlands","1971",14.51252,"Western Europe"
"Netherlands","1972",14.55993,"Western Europe"
"Netherlands","1975",15.05522,"Western Europe"
"Netherlands","1976",14.88439,"Western Europe"
"Netherlands","1977",14.88393,"Western Europe"
"Netherlands","1978",14.7063,"Western Europe"
"Netherlands","1979",14.4916,"Western Europe"
"Netherlands","1980",14.51397,"Western Europe"
"Netherlands","1982",14.39342,"Western Europe"
"Netherlands","1983",14.31168,"Western Europe"
"Netherlands","1984",14.57236,"Western Europe"
"Netherlands","1985",14.56727,"Western Europe"
"Netherlands","1986",16.59932,"Western Europe"
"Netherlands","1987",16.09469,"Western Europe"
"Netherlands","1988",15.60104,"Western Europe"
"Netherlands","1989",15.30169,"Western Europe"
"Netherlands","1990",15.54023,"Western Europe"
"Netherlands","1991",15.68467,"Western Europe"
"Netherlands","1992",15.80009,"Western Europe"
"Netherlands","1993",15.9245,"Western Europe"
"Netherlands","1994",17.41098,"Western Europe"
"Netherlands","2002",13.46918,"Western Europe"
"Netherlands","2003",13.08537,"Western Europe"
"Netherlands","2004",12.73649,"Western Europe"
"Netherlands","2005",13.13236,"Western Europe"
"Netherlands","2006",13.30748,"Western Europe"
"Netherlands","2007",13.31665,"Western Europe"
"Netherlands","2008",13.18227,"Western Europe"
"Netherlands","2009",13.39986,"Western Europe"
"Netherlands","2010",13.72933,"Western Europe"
"Netherlands","2011",13.57412,"Western Europe"
"Netherlands","2012",13.85693,"Western Europe"
"Netherlands","2015",14.46276,"Western Europe"
"Netherlands","2016",14.40346,"Western Europe"
"Netherlands","2017",14.51694,"Western Europe"
"New Zealand","1982",19.86947,"Australia and New Zealand"
"New Zealand","1994",14.26627,"Australia and New Zealand"
"New Zealand","1996",15.66631,"Australia and New Zealand"
"New Zealand","1997",15.17959,"Australia and New Zealand"
"New Zealand","1998",17.42447,"Australia and New Zealand"
"New Zealand","1999",15.3898,"Australia and New Zealand"
"New Zealand","2000",15.54971,"Australia and New Zealand"
"New Zealand","2001",15.03428,"Australia and New Zealand"
"New Zealand","2003",14.1861,"Australia and New Zealand"
"New Zealand","2004",13.17799,"Australia and New Zealand"
"New Zealand","2005",14.71095,"Australia and New Zealand"
"New Zealand","2006",14.70968,"Australia and New Zealand"
"New Zealand","2007",14.63451,"Australia and New Zealand"
"New Zealand","2008",14.4931,"Australia and New Zealand"
"New Zealand","2009",14.30599,"Australia and New Zealand"
"New Zealand","2010",14.50074,"Australia and New Zealand"
"New Zealand","2011",14.36822,"Australia and New Zealand"
"New Zealand","2012",14.36042,"Australia and New Zealand"
"New Zealand","2014",13.96236,"Australia and New Zealand"
"New Zealand","2015",13.81545,"Australia and New Zealand"
"New Zealand","2016",13.8189,"Australia and New Zealand"
"New Zealand","2017",13.62875,"Australia and New Zealand"
"North Macedonia","1998",29.32253,"Southern Europe"
"North Macedonia","1999",16.32933,"Southern Europe"
"North Macedonia","2000",16.04576,"Southern Europe"
"North Macedonia","2001",16.36438,"Southern Europe"
"North Macedonia","2002",16.05532,"Southern Europe"
"North Macedonia","2003",15.61221,"Southern Europe"
"North Macedonia","2004",15.13043,"Southern Europe"
"North Macedonia","2005",14.70825,"Southern Europe"
"North Macedonia","2007",13.7217,"Southern Europe"
"North Macedonia","2008",13.08679,"Southern Europe"
"North Macedonia","2009",12.35655,"Southern Europe"
"North Macedonia","2010",11.91214,"Southern Europe"
"North Macedonia","2012",10.492,"Southern Europe"
"North Macedonia","2013",9.84804,"Southern Europe"
"North Macedonia","2014",9.56464,"Southern Europe"
"North Macedonia","2015",9.42686,"Southern Europe"
"North Macedonia","2017",8.74033,"Southern Europe"
"Panama","1970",20.73626,"Latin America and the Caribbean"
"Panama","1971",19.46076,"Latin America and the Caribbean"
"Panama","1972",19.61421,"Latin America and the Caribbean"
"Panama","1973",20.62827,"Latin America and the Caribbean"
"Panama","1974",21.29066,"Latin America and the Caribbean"
"Panama","1975",23.50529,"Latin America and the Caribbean"
"Panama","1976",25.29223,"Latin America and the Caribbean"
"Panama","1977",26.25349,"Latin America and the Caribbean"
"Panama","1978",27.6334,"Latin America and the Caribbean"
"Panama","1979",27.47775,"Latin America and the Caribbean"
"Panama","1980",21.04608,"Latin America and the Caribbean"
"Panama","1981",20.21812,"Latin America and the Caribbean"
"Panama","1982",19.58662,"Latin America and the Caribbean"
"Panama","1983",19.21178,"Latin America and the Caribbean"
"Panama","1984",19.15225,"Latin America and the Caribbean"
"Panama","1985",19.06167,"Latin America and the Caribbean"
"Panama","1986",18.97215,"Latin America and the Caribbean"
"Panama","1987",18.84893,"Latin America and the Caribbean"
"Panama","1988",19.41262,"Latin America and the Caribbean"
"Panama","1989",19.01746,"Latin America and the Caribbean"
"Panama","1990",20.08438,"Latin America and the Caribbean"
"Panama","1991",19.82173,"Latin America and the Caribbean"
"Panama","1992",19.10912,"Latin America and the Caribbean"
"Panama","1993",18.80945,"Latin America and the Caribbean"
"Panama","1994",18.24956,"Latin America and the Caribbean"
"Panama","1995",18.29652,"Latin America and the Caribbean"
"Panama","1996",18.05883,"Latin America and the Caribbean"
"Panama","1999",15.9968,"Latin America and the Caribbean"
"Panama","2000",16.25611,"Latin America and the Caribbean"
"Panama","2001",16.07911,"Latin America and the Caribbean"
"Panama","2002",16.09095,"Latin America and the Caribbean"
"Panama","2004",15.76138,"Latin America and the Caribbean"
"Panama","2005",15.63104,"Latin America and the Caribbean"
"Panama","2006",15.77361,"Latin America and the Caribbean"
"Panama","2007",15.47421,"Latin America and the Caribbean"
"Panama","2008",15.38675,"Latin America and the Caribbean"
"Panama","2009",14.65648,"Latin America and the Caribbean"
"Panama","2010",15.33901,"Latin America and the Caribbean"
"Panama","2011",14.68664,"Latin America and the Caribbean"
"Panama","2013",15.51877,"Latin America and the Caribbean"
"Panama","2014",13.58912,"Latin America and the Caribbean"
"Panama","2015",13.32796,"Latin America and the Caribbean"
"Panama","2016",14.50099,"Latin America and the Caribbean"
"Panama","2017",13.5809,"Latin America and the Caribbean"
"Peru","1970",17.29139,"Latin America and the Caribbean"
"Peru","1971",18.03585,"Latin America and the Caribbean"
"Peru","1972",18.87785,"Latin America and the Caribbean"
"Peru","1973",20.58821,"Latin America and the Caribbean"
"Peru","1974",21.50076,"Latin America and the Caribbean"
"Peru","1975",23.83082,"Latin America and the Caribbean"
"Peru","1976",25.75911,"Latin America and the Caribbean"
"Peru","1977",27.54538,"Latin America and the Caribbean"
"Peru","1978",29.29366,"Latin America and the Caribbean"
"Peru","1981",24.73582,"Latin America and the Caribbean"
"Peru","1982",24.94844,"Latin America and the Caribbean"
"Peru","1983",21.3093,"Latin America and the Caribbean"
"Peru","1984",21.585,"Latin America and the Caribbean"
"Peru","1985",20.82346,"Latin America and the Caribbean"
"Peru","1986",21.89817,"Latin America and the Caribbean"
"Peru","1987",20.99217,"Latin America and the Caribbean"
"Peru","1988",20.46028,"Latin America and the Caribbean"
"Peru","1989",19.99637,"Latin America and the Caribbean"
"Peru","1990",19.68698,"Latin America and the Caribbean"
"Peru","1991",19.68194,"Latin America and the Caribbean"
"Peru","1992",19.44669,"Latin America and the Caribbean"
"Peru","1993",20.2281,"Latin America and the Caribbean"
"Peru","1994",18.21072,"Latin America and the Caribbean"
"Peru","1995",19.03209,"Latin America and the Caribbean"
"Peru","1996",18.75551,"Latin America and the Caribbean"
"Peru","1997",18.41598,"Latin America and the Caribbean"
"Peru","1998",17.22606,"Latin America and the Caribbean"
"Peru","1999",21.62919,"Latin America and the Caribbean"
"Peru","2000",20.35754,"Latin America and the Caribbean"
"Peru","2001",20.31555,"Latin America and the Caribbean"
"Peru","2002",18.91347,"Latin America and the Caribbean"
"Peru","2003",16.18434,"Latin America and the Caribbean"
"Peru","2004",16.636,"Latin America and the Caribbean"
"Peru","2005",16.72571,"Latin America and the Caribbean"
"Peru","2006",16.21431,"Latin America and the Caribbean"
"Peru","2007",16.388,"Latin America and the Caribbean"
"Peru","2008",16.23886,"Latin America and the Caribbean"
"Peru","2009",16.53146,"Latin America and the Caribbean"
"Peru","2010",15.99044,"Latin America and the Caribbean"
"Peru","2011",16.69359,"Latin America and the Caribbean"
"Peru","2012",16.75243,"Latin America and the Caribbean"
"Peru","2013",15.46321,"Latin America and the Caribbean"
"Peru","2014",14.20135,"Latin America and the Caribbean"
"Peru","2015",14.09055,"Latin America and the Caribbean"
"Peru","2016",14.33983,"Latin America and the Caribbean"
"Peru","2017",14.57939,"Latin America and the Caribbean"
"Peru","2018",14.20042,"Latin America and the Caribbean"
"Poland","2001",13.20372,"Eastern Europe"
"Poland","2003",14.11461,"Eastern Europe"
"Poland","2005",11.63705,"Eastern Europe"
"Poland","2006",11.46444,"Eastern Europe"
"Poland","2007",11.15369,"Eastern Europe"
"Poland","2008",11.04127,"Eastern Europe"
"Poland","2009",10.68059,"Eastern Europe"
"Poland","2010",10.39489,"Eastern Europe"
"Poland","2011",8.90961,"Eastern Europe"
"Poland","2012",8.66085,"Eastern Europe"
"Poland","2013",9.5332,"Eastern Europe"
"Poland","2014",9.45976,"Eastern Europe"
"Poland","2015",9.3184,"Eastern Europe"
"Poland","2016",9.19768,"Eastern Europe"
"Poland","2017",9.09854,"Eastern Europe"
"Portugal","1973",17.55435,"Southern Europe"
"Portugal","1974",17.60934,"Southern Europe"
"Portugal","1975",15.21851,"Southern Europe"
"Portugal","1976",15.69937,"Southern Europe"
"Portugal","1977",15.78546,"Southern Europe"
"Portugal","1978",22.86616,"Southern Europe"
"Portugal","1979",16.35426,"Southern Europe"
"Portugal","1980",16.1286,"Southern Europe"
"Portugal","1991",10.38605,"Southern Europe"
"Portugal","1993",12.572,"Southern Europe"
"Portugal","2000",9.79384,"Southern Europe"
"Portugal","2001",9.72101,"Southern Europe"
"Portugal","2002",8.8972,"Southern Europe"
"Portugal","2003",8.77611,"Southern Europe"
"Portugal","2004",7.74783,"Southern Europe"
"Portugal","2005",7.13761,"Southern Europe"
"Portugal","2006",7.06038,"Southern Europe"
"Portugal","2007",7.31822,"Southern Europe"
"Portugal","2008",7.25845,"Southern Europe"
"Portugal","2009",7.27779,"Southern Europe"
"Portugal","2010",7.34729,"Southern Europe"
"Portugal","2011",7.52542,"Southern Europe"
"Portugal","2012",8.16457,"Southern Europe"
"Portugal","2013",9.7729,"Southern Europe"
"Portugal","2014",9.8942,"Southern Europe"
"Portugal","2015",9.9287,"Southern Europe"
"Portugal","2016",9.64497,"Southern Europe"
"Portugal","2017",9.51599,"Southern Europe"
"Qatar","1971",12.63889,"Western Asia"
"Qatar","1972",12.97656,"Western Asia"
"Qatar","1973",12.6632,"Western Asia"
"Qatar","1974",12.80663,"Western Asia"
"Qatar","1975",12.39841,"Western Asia"
"Qatar","1976",12.19421,"Western Asia"
"Qatar","1977",11.18595,"Western Asia"
"Qatar","1978",11.0385,"Western Asia"
"Qatar","1979",10.65264,"Western Asia"
"Qatar","1980",10.48941,"Western Asia"
"Qatar","1981",9.79126,"Western Asia"
"Qatar","1982",9.77664,"Western Asia"
"Qatar","1983",8.81907,"Western Asia"
"Qatar","1984",8.87195,"Western Asia"
"Qatar","1985",9.05829,"Western Asia"
"Qatar","1986",8.8909,"Western Asia"
"Qatar","1987",7.70213,"Western Asia"
"Qatar","1988",8.79744,"Western Asia"
"Qatar","1989",8.58583,"Western Asia"
"Qatar","1990",8.59347,"Western Asia"
"Qatar","1991",8.46659,"Western Asia"
"Qatar","1992",8.35661,"Western Asia"
"Qatar","1993",9.3919,"Western Asia"
"Qatar","1994",9.49307,"Western Asia"
"Qatar","1995",9.75505,"Western Asia"
"Qatar","1998",11.07175,"Western Asia"
"Qatar","1999",10.16087,"Western Asia"
"Qatar","2001",10.39216,"Western Asia"
"Qatar","2002",9.99022,"Western Asia"
"Qatar","2003",10.15222,"Western Asia"
"Qatar","2004",10.07338,"Western Asia"
"Qatar","2005",11.57146,"Western Asia"
"Qatar","2006",9.48177,"Western Asia"
"Qatar","2008",9.69258,"Western Asia"
"Qatar","2009",9.6178,"Western Asia"
"Qatar","2010",9.93428,"Western Asia"
"Qatar","2011",10.12723,"Western Asia"
"Qatar","2012",9.72794,"Western Asia"
"Qatar","2013",9.67144,"Western Asia"
"Qatar","2014",10.17084,"Western Asia"
"Qatar","2015",10.68863,"Western Asia"
"Qatar","2016",10.24306,"Western Asia"
"Qatar","2017",10.41565,"Western Asia"
"Qatar","2018",11.04303,"Western Asia"
"Romania","1989",24.59917,"Eastern Europe"
"Romania","1991",18.02169,"Eastern Europe"
"Romania","1992",16.85162,"Eastern Europe"
"Romania","1993",14.83037,"Eastern Europe"
"Romania","1994",13.96353,"Eastern Europe"
"Romania","1995",13.32718,"Eastern Europe"
"Romania","1996",12.85426,"Eastern Europe"
"Romania","1997",12.57169,"Eastern Europe"
"Romania","1998",12.64793,"Eastern Europe"
"Romania","1999",12.51326,"Eastern Europe"
"Romania","2000",12.83862,"Eastern Europe"
"Romania","2001",13.13507,"Eastern Europe"
"Romania","2002",12.79369,"Eastern Europe"
"Romania","2003",13.47478,"Eastern Europe"
"Romania","2004",13.66506,"Eastern Europe"
"Romania","2005",12.9349,"Eastern Europe"
"Romania","2006",12.8368,"Eastern Europe"
"Romania","2007",12.7049,"Eastern Europe"
"Romania","2008",12.72627,"Eastern Europe"
"Romania","2009",12.39015,"Eastern Europe"
"Romania","2010",12.47651,"Eastern Europe"
"Romania","2011",12.96035,"Eastern Europe"
"Romania","2012",12.75412,"Eastern Europe"
"Romania","2013",12.81445,"Eastern Europe"
"Romania","2014",12.26841,"Eastern Europe"
"Romania","2015",12.09628,"Eastern Europe"
"Romania","2016",12.11967,"Eastern Europe"
"Romania","2017",12.07981,"Eastern Europe"
"Serbia","2007",10.8129,"Southern Europe"
"Serbia","2008",10.29101,"Southern Europe"
"Serbia","2009",10.03013,"Southern Europe"
"Serbia","2010",9.60059,"Southern Europe"
"Serbia","2011",9.33435,"Southern Europe"
"Serbia","2012",9.07219,"Southern Europe"
"Serbia","2013",9.00278,"Southern Europe"
"Serbia","2014",8.65148,"Southern Europe"
"Serbia","2015",8.45036,"Southern Europe"
"Serbia","2016",8.22827,"Southern Europe"
"Serbia","2017",8.08165,"Southern Europe"
"Serbia","2018",7.946,"Southern Europe"
"Slovenia","1993",15.37755,"Southern Europe"
"Slovenia","1994",15.56332,"Southern Europe"
"Slovenia","1995",15.37769,"Southern Europe"
"Slovenia","1996",14.19169,"Southern Europe"
"Slovenia","1997",14.57888,"Southern Europe"
"Slovenia","1998",13.16196,"Southern Europe"
"Slovenia","1999",13.11281,"Southern Europe"
"Slovenia","2000",12.92344,"Southern Europe"
"Slovenia","2001",13.1431,"Southern Europe"
"Slovenia","2002",13.02755,"Southern Europe"
"Slovenia","2003",13.73222,"Southern Europe"
"Slovenia","2004",11.41328,"Southern Europe"
"Slovenia","2005",11.20998,"Southern Europe"
"Slovenia","2006",10.62664,"Southern Europe"
"Slovenia","2007",9.4394,"Southern Europe"
"Slovenia","2008",9.33901,"Southern Europe"
"Slovenia","2009",9.18321,"Southern Europe"
"Slovenia","2010",9.0718,"Southern Europe"
"Slovenia","2011",8.96265,"Southern Europe"
"Slovenia","2012",8.86497,"Southern Europe"
"Slovenia","2013",10.06775,"Southern Europe"
"Slovenia","2014",10.10363,"Southern Europe"
"Slovenia","2015",10.20569,"Southern Europe"
